date,feature_index,NO2
2026-07-20T00:00:00.000Z,0,5.128059274284169E-5
2026-07-17T00:00:00.000Z,0,5.005009628994709E-5
2026-07-16T00:00:00.000Z,0,3.882942352599154E-5
2026-07-14T00:00:00.000Z,0,4.53456699688104E-5
2026-07-19T00:00:00.000Z,0,2.9961886582441366E-5
2026-07-18T00:00:00.000Z,0,5.1982544774593984E-5
2025-11-10T00:00:00.000Z,0,
2025-11-14T00:00:00.000Z,0,
2025-11-12T00:00:00.000Z,0,
2025-11-08T00:00:00.000Z,0,4.0161909419111906E-5
2025-11-09T00:00:00.000Z,0,
2025-11-13T00:00:00.000Z,0,
2025-11-11T00:00:00.000Z,0,4.673987677961122E-5
2025-11-15T00:00:00.000Z,0,
2026-02-03T00:00:00.000Z,0,2.269001597596798E-5
2026-02-01T00:00:00.000Z,0,
2026-01-31T00:00:00.000Z,0,3.958672095905058E-5
2026-01-28T00:00:00.000Z,0,1.3455743101076223E-5
2026-01-29T00:00:00.000Z,0,2.7456812745185744E-5
2026-02-02T00:00:00.000Z,0,
2026-01-27T00:00:00.000Z,0,
2026-01-30T00:00:00.000Z,0,3.934864253096748E-5
2026-05-02T00:00:00.000Z,0,2.458190829202067E-5
2026-04-26T00:00:00.000Z,0,2.838170809127405E-5
2026-04-25T00:00:00.000Z,0,3.7266893684773095E-5
2026-05-01T00:00:00.000Z,0,3.358478716108948E-5
2026-04-27T00:00:00.000Z,0,2.704369171624421E-5
2026-04-29T00:00:00.000Z,0,1.6104161980311963E-5
2026-04-30T00:00:00.000Z,0,
2026-04-28T00:00:00.000Z,0,2.0481660612858832E-5
2026-07-09T00:00:00.000Z,0,5.852970225532772E-5
2026-07-10T00:00:00.000Z,0,5.8974362400476823E-5
2026-07-07T00:00:00.000Z,0,3.128252809312051E-5
2026-07-08T00:00:00.000Z,0,3.8994204342915594E-5
2026-07-11T00:00:00.000Z,0,3.881097036355641E-5
2026-07-13T00:00:00.000Z,0,4.4305463234195486E-5
2026-07-06T00:00:00.000Z,0,3.4997703551198356E-5
2026-07-12T00:00:00.000Z,0,3.87036387110129E-5
2026-04-16T00:00:00.000Z,0,4.593753614504489E-5
2026-04-13T00:00:00.000Z,0,1.971381326174279E-5
2026-04-15T00:00:00.000Z,0,4.951390355927288E-5
2026-04-12T00:00:00.000Z,0,2.5018750030929887E-5
2026-04-10T00:00:00.000Z,0,3.2809007149938096E-5
2026-04-11T00:00:00.000Z,0,4.7341350000351665E-5
2026-04-09T00:00:00.000Z,0,
2026-04-14T00:00:00.000Z,0,2.8514250516309403E-5
2025-10-11T00:00:00.000Z,0,4.032106072473754E-5
2025-10-12T00:00:00.000Z,0,3.105997916463821E-5
2025-10-14T00:00:00.000Z,0,3.587831411601251E-5
2025-10-09T00:00:00.000Z,0,3.307119814053294E-5
2025-10-13T00:00:00.000Z,0,2.5196545331190074E-5
2025-10-10T00:00:00.000Z,0,3.0230543598008807E-5
2025-10-07T00:00:00.000Z,0,4.1427599777913805E-5
2025-10-08T00:00:00.000Z,0,2.6927143335342407E-5
2026-02-14T00:00:00.000Z,0,
2026-02-13T00:00:00.000Z,0,
2026-02-16T00:00:00.000Z,0,4.4500055082608014E-5
